Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
に,に,に,助詞 格助詞 * * * *,193,3
の,の,の,助詞 格助詞 * * * *,191,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,189,3
は,は,は,助詞 係助詞 * * * *,186,3
て,て,て,助詞 接続助詞 * * * *,173,3
富良,富良,富良,名詞 固有名詞 人名 名 * *,138,2
が,が,が,助詞 格助詞 * * * *,133,3
を,を,を,助詞 格助詞 * * * *,129,3
も,も,も,助詞 係助詞 * * * *,112,3
よ,よ,よ,助詞 終助詞 * * * *,112,3
ん,ん,の,助詞 準体助詞 * * * *,90,3
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,88,3
と,と,と,助詞 格助詞 * * * *,87,3
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,85,3
な,な,な,助詞 終助詞 * * * *,79,3
か,か,か,助詞 終助詞 * * * *,77,3
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,76,3
で,で,で,助詞 格助詞 * * * *,75,3
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,67,3
の,の,の,助詞 準体助詞 * * * *,65,3
あっ,あっ,あっ,感動詞 一般 * * * *,61,3
有馬,有馬,有馬,名詞 固有名詞 地名 一般 * *,58,2
ね,ね,ね,助詞 終助詞 * * * *,57,3
三波,三波,三波,名詞 固有名詞 人名 姓 * *,56,2
俺,俺,俺,代名詞 * * * * *,54,2
あ,あ,あっ,感動詞 一般 * * * *,53,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,52,3
って,って,って,助詞 副助詞 * * * *,49,3
から,から,から,助詞 接続助詞 * * * *,48,3
ああ,ああ,ああ,感動詞 一般 * * * *,46,3
月山,月山,月山,名詞 固有名詞 地名 一般 * *,46,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,45,3
ハァ,ハァ,はあ,感動詞 一般 * * * *,45,3
お前,お前,御前,代名詞 * * * * *,43,3
アキ,アキ,明き,名詞 普通名詞 一般 * * *,42,2
喰,喰る,食う,動詞 一般 * * 下一段-ア行 連用形-一般,41,3
種,種,種,名詞 普通名詞 助数詞可能 * * *,41,3
か,か,か,助詞 副助詞 * * * *,40,3
こと,こと,こと,名詞 普通名詞 一般 * * *,39,3
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,39,3
うっ,うっ,うう,感動詞 一般 * * * *,38,3
君,君,君,接尾辞 名詞的 一般 * * *,38,3
ん,ん,んっ,感動詞 一般 * * * *,35,3
〜,〜,〜,補助記号 一般 * * * *,34,3
リョウ,リョウ,リョウ,名詞 固有名詞 人名 名 * *,34,2
何,何,何,代名詞 * * * * *,32,3
有馬,有馬,有馬,名詞 固有名詞 人名 姓 * *,32,2
なん,なん,何,代名詞 * * * * *,31,3
の,の,の,助詞 終助詞 * * * *,31,3
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,31,3
から,から,から,助詞 格助詞 * * * *,29,3
それ,それ,其れ,代名詞 * * * * *,28,3
ちえ,ちえ,知恵,名詞 普通名詞 一般 * * *,28,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,27,3
そう,そう,そう,副詞 * * * * *,26,3
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,26,3
この,この,此の,連体詞 * * * * *,24,3
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,24,3
音,音,音,名詞 普通名詞 一般 * * *,23,3
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,22,3
で,で,で,助詞 接続助詞 * * * *,22,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,22,3
少し,少し,少し,副詞 * * * * *,22,3
ランタン,ランタン,ランタン,名詞 普通名詞 一般 * * *,22,2
男性,男性,男性,名詞 普通名詞 一般 * * *,21,3
私,私,私,代名詞 * * * * *,21,3
けど,けど,けれど,助詞 接続助詞 * * * *,20,3
さ,さ,さ,助詞 終助詞 * * * *,20,3
さん,さん,さん,接尾辞 名詞的 一般 * * *,20,3
捜査官,捜査官,捜査官,名詞 普通名詞 一般 * * *,20,2
たち,たち,達,接尾辞 名詞的 一般 * * *,19,3
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,19,3
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,18,3
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,18,3
ら,ら,等,接尾辞 名詞的 一般 * * *,18,3
君,君,君,代名詞 * * * * *,18,3
もう,もう,もう,副詞 * * * * *,17,3
あの,あの,彼の,連体詞 * * * * *,16,3
し,し,し,助詞 接続助詞 * * * *,16,3
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,16,2
加藤,加藤,加藤,名詞 固有名詞 人名 姓 * *,16,2
僕,僕,僕,代名詞 * * * * *,16,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,15,3
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,15,3
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,15,3
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,15,3
ば,ば,ば,助詞 接続助詞 * * * *,15,3
んっ,んっ,んっ,感動詞 一般 * * * *,15,3
人,人,人,名詞 普通名詞 一般 * * *,15,3
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,14,3
うん,うん,うん,感動詞 一般 * * * *,14,3
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,14,3
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,14,3
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,14,3
どう,どう,どう,副詞 * * * * *,14,3
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,14,3
よう,よう,様,形状詞 助動詞語幹 * * * *,14,3
人間,人間,人間,名詞 普通名詞 一般 * * *,14,3
チョキチョキ,チョキチョキ,ちょきちょき,副詞 * * * * *,14,2
ヤモリ,ヤモリ,守宮,名詞 普通名詞 一般 * * *,14,2
こんな,こんな,こんな,連体詞 * * * * *,13,3
ねえ,ねえ,ね,助詞 終助詞 * * * *,13,3
生徒,生徒,生徒,名詞 普通名詞 一般 * * *,13,3
自分,自分,自分,名詞 普通名詞 一般 * * *,13,3
が,が,が,助詞 接続助詞 * * * *,12,3
そう,そう,そう,形状詞 助動詞語幹 * * * *,12,3
その,その,其の,連体詞 * * * * *,12,3
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,12,3
ん,ん,ん,助詞 格助詞 * * * *,12,3
フゥ,フゥ,ふう,副詞 * * * * *,12,3
フッ,フッ,ふっ,副詞 * * * * *,12,3
気,気,気,名詞 普通名詞 一般 * * *,12,3
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,12,3
話,話,話,名詞 普通名詞 サ変可能 * * *,12,3
･,・,・,補助記号 一般 * * * *,12,3
あいつ,あいつ,彼奴,代名詞 * * * * *,12,2
てめえ,てめえ,てまえ,代名詞 * * * * *,12,2
太志,太志,太志,名詞 固有名詞 人名 名 * *,12,2
学校,学校,学校,名詞 普通名詞 一般 * * *,12,2
野球,野球,野球,名詞 普通名詞 一般 * * *,12,2
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,11,3
ここ,ここ,此処,代名詞 * * * * *,11,3
そんな,そんな,そんな,連体詞 * * * * *,11,3
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,11,3
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,11,3
れる,れる,れる,助動詞 * * * 助動詞-レル 連体形-一般,11,3
手,手,手,名詞 普通名詞 助数詞可能 * * *,11,3
看護師,看護師,看護師,名詞 普通名詞 一般 * * *,11,1
老人,老人,老人,名詞 普通名詞 一般 * * *,11,1
お,お,御,接頭辞 * * * * *,10,3
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,10,3
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,10,3
ちょっと,ちょっと,一寸,副詞 * * * * *,10,3
と,と,と,助詞 接続助詞 * * * *,10,3
もの,もの,物,名詞 普通名詞 サ変可能 * * *,10,3
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,10,3
えいっ,えいっ,えい,感動詞 一般 * * * *,10,2
ガキ,ガキ,ガキ,名詞 普通名詞 一般 * * *,10,2
チョキ,チョキ,ちょき,名詞 普通名詞 一般 * * *,10,2
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,10,2
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,10,2
写真,写真,写真,名詞 普通名詞 一般 * * *,10,1
あんた,あんた,貴方,代名詞 * * * * *,9,3
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,9,3
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,9,3
おい,おい,おい,感動詞 一般 * * * *,9,3
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,9,3
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,9,3
生き,生きる,生きる,動詞 一般 * * 上一段-カ行 連用形-一般,9,3
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,9,3
女子,女子,女子,名詞 普通名詞 一般 * * *,9,1
