Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,24,1
も,も,も,助詞 係助詞 * * * *,23,1
て,て,て,助詞 接続助詞 * * * *,21,1
に,に,に,助詞 格助詞 * * * *,20,1
プリン,プリン,プリン,名詞 普通名詞 一般 * * *,20,1
勝太,勝太,勝太,名詞 固有名詞 人名 名 * *,20,1
の,の,の,助詞 格助詞 * * * *,17,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,16,1
ドラゴン,ドラゴン,ドラゴン,名詞 普通名詞 一般 * * *,16,1
が,が,が,助詞 格助詞 * * * *,15,1
〜,〜,〜,補助記号 一般 * * * *,14,1
よ,よ,よ,助詞 終助詞 * * * *,14,1
は,は,は,助詞 係助詞 * * * *,13,1
これ,これ,此れ,代名詞 * * * * *,12,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,12,1
と,と,と,助詞 格助詞 * * * *,12,1
な,な,な,助詞 終助詞 * * * *,12,1
を,を,を,助詞 格助詞 * * * *,11,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,10,1
ん,ん,の,助詞 準体助詞 * * * *,10,1
お前,お前,御前,代名詞 * * * * *,9,1
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,9,1
の,の,の,助詞 準体助詞 * * * *,9,1
カード,カード,カード,名詞 普通名詞 一般 * * *,9,1
レヒ,レヒ,レヒ,名詞 固有名詞 地名 一般 * *,9,1
って,って,って,助詞 副助詞 * * * *,8,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,8,1
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,8,1
お,お,御,接頭辞 * * * * *,7,1
か,か,か,助詞 終助詞 * * * *,7,1
か,か,か,助詞 副助詞 * * * *,7,1
で,で,で,助詞 格助詞 * * * *,7,1
なん,なん,何,代名詞 * * * * *,7,1
姫,姫,姫,名詞 普通名詞 一般 * * *,7,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,6,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,6,1
たち,たち,達,接尾辞 名詞的 一般 * * *,6,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,6,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,6,1
デュエマ,デュエマ,デュエマ,名詞 普通名詞 一般 * * *,6,1
切札,切札,切り札,名詞 普通名詞 一般 * * *,6,1
えっ,えっ,えっ,感動詞 一般 * * * *,5,1
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,5,1
っ,っ,っ,補助記号 一般 * * * *,5,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,5,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,5,1
君,君,君,接尾辞 名詞的 一般 * * *,5,1
ぉ,ぉ,ぉ,補助記号 一般 * * * *,4,1
じゃ,じゃ,で,助詞 格助詞 * * * *,4,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,4,1
なに,なに,何,代名詞 * * * * *,4,1
信じ,信ずる,信ずる,動詞 一般 * * サ行変格 未然形-一般,4,1
元,元,元,名詞 普通名詞 一般 * * *,4,1
元気,元気,元気,名詞 普通名詞 形状詞可能 * * *,4,1
あと,あと,後,名詞 普通名詞 副詞可能 * * *,3,1
う,う,うう,感動詞 一般 * * * *,3,1
から,から,から,助詞 格助詞 * * * *,3,1
そう,そう,そう,副詞 * * * * *,3,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,3,1
どう,どう,どう,副詞 * * * * *,3,1
ぶっちゃけ,ぶっちゃける,打ち明ける,動詞 一般 * * 下一段-カ行 連用形-一般,3,1
らん,られる,られる,助動詞 * * * 助動詞-レル 未然形-撥音便,3,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,3,1
オンセン,オンセン,オンセン,名詞 普通名詞 一般 * * *,3,1
ビクトリー,ビクトリー,ビクトリー,名詞 普通名詞 一般 * * *,3,1
プリ,プリ,プレ,名詞 普通名詞 一般 * * *,3,1
俺,俺,俺,代名詞 * * * * *,3,1
姿,姿,姿,名詞 普通名詞 一般 * * *,3,1
年,年,年,名詞 普通名詞 助数詞可能 * * *,3,1
強く,強い,強い,形容詞 一般 * * 形容詞 連用形-一般,3,1
戻し,戻す,戻す,動詞 一般 * * 五段-サ行 連用形-一般,3,1
様,様,様,接尾辞 名詞的 一般 * * *,3,1
次,次,次,名詞 普通名詞 一般 * * *,3,1
無事,無事,無事,形状詞 一般 * * * *,3,1
超,超,超,接頭辞 * * * * *,3,1
あなた,あなた,貴方,代名詞 * * * * *,2,1
あの,あの,彼の,連体詞 * * * * *,2,1
あんた,あんた,貴方,代名詞 * * * * *,2,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,2,1
いら,いる,いる,動詞 一般 * * 五段-ラ行 未然形-一般,2,1
おい,おい,おい,感動詞 一般 * * * *,2,1
お腹,お腹,御腹,名詞 普通名詞 一般 * * *,2,1
から,から,から,助詞 接続助詞 * * * *,2,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,2,1
くらい,くらい,くらい,助詞 副助詞 * * * *,2,1
ぐらい,ぐらい,くらい,助詞 副助詞 * * * *,2,1
こと,こと,こと,名詞 普通名詞 一般 * * *,2,1
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,2,1
し,し,し,助詞 接続助詞 * * * *,2,1
じゃん,じゃん,じゃん,助詞 終助詞 * * * *,2,1
ずっと,ずっと,ずっと,副詞 * * * * *,2,1
それ,それ,其れ,代名詞 * * * * *,2,1
そんな,そんな,そんな,連体詞 * * * * *,2,1
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,2,1
てん,てる,てる,助動詞 * * * 下一段-タ行 連体形-撥音便,2,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,2,1
とき,とき,時,名詞 普通名詞 副詞可能 * * *,2,1
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,2,1
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,2,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,2,1
ね,ね,ね,助詞 終助詞 * * * *,2,1
はい,はい,はい,感動詞 一般 * * * *,2,1
ひと,ひと,一,名詞 数詞 * * * *,2,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,2,1
まで,まで,まで,助詞 副助詞 * * * *,2,1
もっと,もっと,もっと,副詞 * * * * *,2,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,2,1
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,2,1
よ〜,よ〜,よ,助詞 終助詞 * * * *,2,1
より,より,より,助詞 格助詞 * * * *,2,1
られ,られる,られる,助動詞 * * * 助動詞-レル 未然形-一般,2,1
わ,わ,わ,助詞 終助詞 * * * *,2,1
ミミ,ミミ,ミミ,名詞 固有名詞 人名 一般 * *,2,1
ヨーデル,ヨーデル,ヨーデル,名詞 普通名詞 一般 * * *,2,1
リキシ,リキシ,リキシ,名詞 普通名詞 一般 * * *,2,1
・,・,・,補助記号 一般 * * * *,2,1
中,中,中,名詞 普通名詞 副詞可能 * * *,2,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,2,1
何,何,何,代名詞 * * * * *,2,1
助ける,助ける,助ける,動詞 一般 * * 下一段-カ行 連体形-一般,2,1
反応,反応,反応,名詞 普通名詞 サ変可能 * * *,2,1
戻す,戻す,戻す,動詞 一般 * * 五段-サ行 終止形-一般,2,1
方,方,方,接尾辞 名詞的 一般 * * *,2,1
早速,早速,早速,副詞 * * * * *,2,1
申し訳,申し訳,申し訳,名詞 普通名詞 一般 * * *,2,1
聞い,聞く,聞く,動詞 一般 * * 五段-カ行 連用形-イ音便,2,1
言う,言う,言う,動詞 一般 * * 五段-ワア行 終止形-一般,2,1
違う,違う,違う,動詞 一般 * * 五段-ワア行 終止形-一般,2,1
頭,頭,頭,名詞 普通名詞 一般 * * *,2,1
あ,あ,あー,感動詞 フィラー * * * *,1,1
あ〜っ,あ〜っ,ああ,感動詞 一般 * * * *,1,1
あぁ,あぁ,ああ,感動詞 一般 * * * *,1,1
ああ,ああ,ああ,感動詞 一般 * * * *,1,1
あっ,あっ,あっ,感動詞 一般 * * * *,1,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,1,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,1,1
い,い,い,助詞 終助詞 * * * *,1,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 終止形-一般,1,1
