Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
に,に,に,助詞 格助詞 * * * *,4,3
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,3,3
て,て,て,助詞 接続助詞 * * * *,3,2
が,が,が,助詞 格助詞 * * * *,2,2
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,2,2
で,で,で,助詞 接続助詞 * * * *,2,2
を,を,を,助詞 格助詞 * * * *,2,2
ん,ん,の,助詞 準体助詞 * * * *,2,2
これ,これ,此れ,代名詞 * * * * *,2,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,2,1
で,で,で,助詞 格助詞 * * * *,2,1
ね,ね,ね,助詞 終助詞 * * * *,2,1
形,形,形,名詞 普通名詞 一般 * * *,2,1
〜,〜,〜,補助記号 一般 * * * *,1,1
あ〜,あ〜,ああ,感動詞 一般 * * * *,1,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,1,1
か,か,か,助詞 終助詞 * * * *,1,1
かあさん,かあさん,かあさん,名詞 普通名詞 一般 * * *,1,1
かつ,かつ,且つ,接続詞 * * * * *,1,1
から,から,から,助詞 格助詞 * * * *,1,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,1,1
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,1,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,1,1
こちとら,こちとら,こちとら,代名詞 * * * * *,1,1
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,1,1
ご覧,ご覧,御覧,名詞 普通名詞 一般 * * *,1,1
し,し,し,助詞 接続助詞 * * * *,1,1
すてき,すてき,素敵,形状詞 一般 * * * *,1,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,1,1
ぜひ,ぜひ,是非,副詞 * * * * *,1,1
そして,そして,そして,接続詞 * * * * *,1,1
たり,たり,たり,助詞 副助詞 * * * *,1,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,1,1
ちょっと,ちょっと,一寸,副詞 * * * * *,1,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,1,1
と,と,と,助詞 格助詞 * * * *,1,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,1,1
な〜,な〜,な,助詞 終助詞 * * * *,1,1
なぁ,なぁ,な,助詞 終助詞 * * * *,1,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,1,1
なんか,なんか,なんか,助詞 副助詞 * * * *,1,1
にゃ,にゃ,に,助詞 格助詞 * * * *,1,1
の,の,の,助詞 格助詞 * * * *,1,1
は,は,は,助詞 係助詞 * * * *,1,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,1,1
