Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,62,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,57,1
を,を,を,助詞 格助詞 * * * *,50,1
の,の,の,助詞 格助詞 * * * *,47,1
は,は,は,助詞 係助詞 * * * *,47,1
に,に,に,助詞 格助詞 * * * *,38,1
よ,よ,よ,助詞 終助詞 * * * *,31,1
が,が,が,助詞 格助詞 * * * *,27,1
くん,くん,君,接尾辞 名詞的 一般 * * *,27,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,26,1
ん,ん,の,助詞 準体助詞 * * * *,26,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,25,1
ゲッター,ゲッター,ゲッター,名詞 普通名詞 一般 * * *,23,1
か,か,か,助詞 終助詞 * * * *,19,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,18,1
博士,博士,博士,名詞 普通名詞 一般 * * *,17,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,16,1
も,も,も,助詞 係助詞 * * * *,16,1
リョウ,リョウ,リョウ,名詞 固有名詞 人名 名 * *,16,1
あっ,あっ,あっ,感動詞 一般 * * * *,15,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,15,1
で,で,で,助詞 格助詞 * * * *,15,1
鉄也,鉄也,鉄也,名詞 固有名詞 人名 名 * *,15,1
こと,こと,こと,名詞 普通名詞 一般 * * *,13,1
グレート,グレート,グレート,形状詞 一般 * * * *,13,1
ビーム,ビーム,ビーム,名詞 普通名詞 一般 * * *,13,1
ボス,ボス,ボス,名詞 普通名詞 一般 * * *,13,1
マジンガー,マジンガー,マジンガー,名詞 固有名詞 一般 * * *,13,1
の,の,の,助詞 準体助詞 * * * *,12,1
よいしょ,よいしょ,よいしょ,感動詞 一般 * * * *,11,1
今,今,今,名詞 普通名詞 副詞可能 * * *,11,1
怪獣,怪獣,怪獣,名詞 普通名詞 一般 * * *,11,1
この,この,此の,連体詞 * * * * *,10,1
へ,へ,へ,助詞 格助詞 * * * *,10,1
わ,わ,わ,助詞 終助詞 * * * *,10,1
と,と,と,助詞 格助詞 * * * *,9,1
どう,どう,どう,副詞 * * * * *,9,1
オン,オン,オン,名詞 普通名詞 サ変可能 * * *,9,1
ゲッターロボ,ゲッターロボ,ゲッターロボ,名詞 普通名詞 一般 * * *,9,1
所長,所長,所長,名詞 普通名詞 一般 * * *,9,1
ああ,ああ,ああ,感動詞 一般 * * * *,8,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,8,1
な,な,な,助詞 終助詞 * * * *,8,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,8,1
ゲット,ゲット,ゲット,名詞 普通名詞 サ変可能 * * *,8,1
円盤,円盤,円盤,名詞 普通名詞 一般 * * *,8,1
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,8,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,8,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,7,1
スイッチ,スイッチ,スイッチ,名詞 普通名詞 サ変可能 * * *,7,1
俺,俺,俺,代名詞 * * * * *,7,1
急げ,急ぐ,急ぐ,動詞 一般 * * 五段-ガ行 命令形,7,1
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,7,1
ああっ,ああっ,ああ,感動詞 一般 * * * *,6,1
あの,あの,彼の,連体詞 * * * * *,6,1
くそ,くそ,くそ,感動詞 一般 * * * *,6,1
こっち,こっち,此方,代名詞 * * * * *,6,1
これ,これ,此れ,代名詞 * * * * *,6,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,6,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,6,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,6,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,6,1
ボスボロット,ボスボロット,ボスボロット,名詞 普通名詞 一般 * * *,6,1
助け,助ける,助ける,動詞 一般 * * 下一段-カ行 連用形-一般,6,1
無人島,無人島,無人島,名詞 普通名詞 一般 * * *,6,1
うわーっ,うわーっ,うわ,感動詞 一般 * * * *,5,1
うん,うん,うん,感動詞 一般 * * * *,5,1
お,お,御,接頭辞 * * * * *,5,1
から,から,から,助詞 格助詞 * * * *,5,1
から,から,から,助詞 接続助詞 * * * *,5,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,5,1
そんな,そんな,そんな,連体詞 * * * * *,5,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,5,1
なに,なに,何,代名詞 * * * * *,5,1
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,5,1
なん,なん,何,代名詞 * * * * *,5,1
ね,ね,ね,助詞 終助詞 * * * *,5,1
よう,よう,様,形状詞 助動詞語幹 * * * *,5,1
オープン,オープン,オープン,名詞 普通名詞 サ変形状詞可能 * * *,5,1
スクランブル,スクランブル,スクランブル,名詞 普通名詞 一般 * * *,5,1
ダッシュ,ダッシュ,ダッシュ,名詞 普通名詞 サ変可能 * * *,5,1
チェンジ,チェンジ,チェンジ,名詞 普通名詞 サ変可能 * * *,5,1
ハヤト,ハヤト,ハヤト,名詞 固有名詞 人名 名 * *,5,1
ブーメラン,ブーメラン,ブーメラン,名詞 普通名詞 一般 * * *,5,1
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,5,1
早乙女,早乙女,早乙女,名詞 固有名詞 人名 姓 * *,5,1
発進,発進,発進,名詞 普通名詞 サ変可能 * * *,5,1
私,私,私,代名詞 * * * * *,5,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,5,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,4,1
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,4,1
こう,こう,こう,副詞 * * * * *,4,1
こんな,こんな,こんな,連体詞 * * * * *,4,1
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,4,1
さあ,さあ,さあ,感動詞 一般 * * * *,4,1
じゃ,じゃ,で,助詞 格助詞 * * * *,4,1
そう,そう,そう,副詞 * * * * *,4,1
その,その,其の,連体詞 * * * * *,4,1
って,って,って,助詞 副助詞 * * * *,4,1
とうっ,とうっ,とうっ,感動詞 一般 * * * *,4,1
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,4,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,4,1
まま,まま,侭,名詞 普通名詞 副詞可能 * * *,4,1
もう,もう,もう,副詞 * * * * *,4,1
やる,やる,遣る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,4,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,4,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,4,1
チーム,チーム,チーム,名詞 普通名詞 一般 * * *,4,1
ネーブル,ネーブル,ネーブル,名詞 普通名詞 一般 * * *,4,1
バーン,バーン,バーン,名詞 普通名詞 一般 * * *,4,1
ブレスト,ブレスト,ブレスト,名詞 普通名詞 一般 * * *,4,1
ミサイル,ミサイル,ミサイル,名詞 普通名詞 一般 * * *,4,1
ムサシ,ムサシ,ムサシ,名詞 固有名詞 地名 一般 * *,4,1
危ない,危ない,危ない,形容詞 一般 * * 形容詞 終止形-一般,4,1
指令,指令,指令,名詞 普通名詞 サ変可能 * * *,4,1
海,海,海,名詞 普通名詞 一般 * * *,4,1
準備,準備,準備,名詞 普通名詞 サ変可能 * * *,4,1
あいつ,あいつ,彼奴,代名詞 * * * * *,3,1
あら,あら,あら,感動詞 一般 * * * *,3,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,3,1
あれ,あれ,彼れ,代名詞 * * * * *,3,1
あんな,あんな,あんな,連体詞 * * * * *,3,1
いか,いく,行く,動詞 非自立可能 * * 五段-カ行 未然形-一般,3,1
うむ,うむ,うむ,感動詞 一般 * * * *,3,1
おっと,おっと,おっと,感動詞 一般 * * * *,3,1
が,が,が,助詞 接続助詞 * * * *,3,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,3,1
くれる,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 終止形-一般,3,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,3,1
しっかり,しっかり,確り,副詞 * * * * *,3,1
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,3,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,3,1
