Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,80,1
は,は,は,助詞 係助詞 * * * *,68,1
が,が,が,助詞 格助詞 * * * *,57,1
て,て,て,助詞 接続助詞 * * * *,55,1
に,に,に,助詞 格助詞 * * * *,51,1
ユーリィ,ユーリィ,ユーリィ,名詞 普通名詞 一般 * * *,46,1
を,を,を,助詞 格助詞 * * * *,44,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,41,1
咲,咲,咲き,名詞 普通名詞 一般 * * *,41,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,34,1
で,で,で,助詞 格助詞 * * * *,33,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,26,1
と,と,と,助詞 格助詞 * * * *,26,1
フィリップ,フィリップ,フィリップ,名詞 固有名詞 人名 一般 * *,26,1
も,も,も,助詞 係助詞 * * * *,24,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,23,1
な,な,な,助詞 終助詞 * * * *,23,1
よ,よ,よ,助詞 終助詞 * * * *,22,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,21,1
音,音,音,名詞 普通名詞 一般 * * *,21,1
か,か,か,助詞 終助詞 * * * *,20,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,20,1
ウィラード,ウィラード,ウィラード,名詞 固有名詞 人名 一般 * *,20,1
お父さん,お父さん,お父さん,名詞 普通名詞 一般 * * *,19,1
華田,華田,華田,名詞 固有名詞 人名 姓 * *,19,1
あ,あ,あっ,感動詞 一般 * * * *,18,1
の,の,の,助詞 準体助詞 * * * *,18,1
お,お,御,接頭辞 * * * * *,17,1
ね,ね,ね,助詞 終助詞 * * * *,17,1
アガサ,アガサ,アガサ,名詞 固有名詞 人名 一般 * *,17,1
ん,ん,の,助詞 準体助詞 * * * *,15,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,14,1
って,って,って,助詞 副助詞 * * * *,12,1
の,の,の,助詞 終助詞 * * * *,11,1
涼子,涼子,涼子,名詞 固有名詞 人名 名 * *,11,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,10,1
から,から,から,助詞 接続助詞 * * * *,10,1
で,で,で,助詞 接続助詞 * * * *,10,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,10,1
まで,まで,まで,助詞 副助詞 * * * *,10,1
ファロン,ファロン,ファロン,名詞 普通名詞 一般 * * *,10,1
私,私,私,代名詞 * * * * *,10,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,9,1
うん,うん,うん,感動詞 一般 * * * *,9,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,9,1
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,8,1
お母さん,お母さん,お母さん,名詞 普通名詞 一般 * * *,8,1
か,か,か,助詞 副助詞 * * * *,8,1
が,が,が,助詞 接続助詞 * * * *,8,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,8,1
ぁ,ぁ,ぁ,補助記号 一般 * * * *,7,1
くっ,くっ,くっ,感動詞 一般 * * * *,7,1
けど,けど,けれど,助詞 接続助詞 * * * *,7,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,7,1
それ,それ,其れ,代名詞 * * * * *,7,1
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,7,1
っ,っ,っ,補助記号 一般 * * * *,7,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,7,1
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,7,1
もう,もう,もう,副詞 * * * * *,7,1
伊庭,伊庭,伊庭,名詞 固有名詞 人名 姓 * *,7,1
から,から,から,助詞 格助詞 * * * *,6,1
この,この,此の,連体詞 * * * * *,6,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,6,1
そう,そう,そう,副詞 * * * * *,6,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,6,1
もの,もの,物,名詞 普通名詞 サ変可能 * * *,6,1
よう,よう,様,形状詞 助動詞語幹 * * * *,6,1
ら,ら,等,接尾辞 名詞的 一般 * * *,6,1
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,6,1
ん,ん,ん,助詞 格助詞 * * * *,6,1
ドロテア,ドロテア,ドロテア,名詞 固有名詞 人名 一般 * *,6,1
何,何,何,代名詞 * * * * *,6,1
吸血鬼,吸血鬼,吸血鬼,名詞 普通名詞 一般 * * *,6,1
女中,女中,女中,名詞 普通名詞 一般 * * *,6,1
昭元,昭元,昭元,名詞 固有名詞 人名 姓 * *,6,1
時,時,時,名詞 普通名詞 副詞可能 * * *,6,1
血,血,血,名詞 普通名詞 一般 * * *,6,1
〜,〜,〜,補助記号 一般 * * * *,5,1
あぁ,あぁ,ああ,感動詞 一般 * * * *,5,1
ああ,ああ,ああ,感動詞 一般 * * * *,5,1
あの,あの,彼の,連体詞 * * * * *,5,1
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,5,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,5,1
ここ,ここ,此処,代名詞 * * * * *,5,1
こと,こと,こと,名詞 普通名詞 一般 * * *,5,1
ござい,ござる,御座る,動詞 非自立可能 * * 五段-ラ行 連用形-イ音便,5,1
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,5,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,5,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,5,1
なさい,なさる,為す,動詞 非自立可能 * * 五段-ラ行 命令形,5,1
シリウス,シリウス,シリウス,名詞 固有名詞 一般 * * *,5,1
君,君,君,代名詞 * * * * *,5,1
天狼,天狼,天狼,名詞 固有名詞 一般 * * *,5,1
獣,獣,獣,名詞 普通名詞 一般 * * *,5,1
者,者,者,接尾辞 名詞的 一般 * * *,5,1
警官,警官,警官,名詞 普通名詞 一般 * * *,5,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,4,1
お前,お前,御前,代名詞 * * * * *,4,1
きっと,きっと,きっと,副詞 * * * * *,4,1
これ,これ,此れ,代名詞 * * * * *,4,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,4,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,4,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,4,1
どこ,どこ,どこ,代名詞 * * * * *,4,1
はぁ,はぁ,はあ,感動詞 一般 * * * *,4,1
はい,はい,はい,感動詞 一般 * * * *,4,1
はっ,はっ,はっ,感動詞 一般 * * * *,4,1
ば,ば,ば,助詞 接続助詞 * * * *,4,1
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,4,1
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,4,1
ヴァンパイア,ヴァンパイア,バンパイア,名詞 普通名詞 一般 * * *,4,1
俺,俺,俺,代名詞 * * * * *,4,1
党,党,党,接尾辞 名詞的 一般 * * *,4,1
博士,博士,博士,名詞 普通名詞 一般 * * *,4,1
少し,少し,少し,副詞 * * * * *,4,1
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,4,1
望月,望月,望月,名詞 固有名詞 人名 姓 * *,4,1
百,百,100,名詞 数詞 * * * *,4,1
研究,研究,研究,名詞 普通名詞 サ変可能 * * *,4,1
