Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,25,6
の,の,の,助詞 格助詞 * * * *,24,6
ああ,ああ,ああ,感動詞 一般 * * * *,21,5
に,に,に,助詞 格助詞 * * * *,20,5
て,て,て,助詞 接続助詞 * * * *,18,6
も,も,も,助詞 係助詞 * * * *,18,6
が,が,が,助詞 格助詞 * * * *,15,5
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,13,6
自転車,自転車,自転車,名詞 普通名詞 一般 * * *,13,5
を,を,を,助詞 格助詞 * * * *,12,6
か,か,か,助詞 終助詞 * * * *,11,5
な,な,な,助詞 終助詞 * * * *,10,5
か,か,か,助詞 副助詞 * * * *,10,4
ショ,ショ,ショ,接尾辞 名詞的 一般 * * *,10,3
と,と,と,助詞 格助詞 * * * *,10,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,9,5
ん,ん,の,助詞 準体助詞 * * * *,9,4
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,8,6
マニュ,マニュ,マニュ,名詞 固有名詞 一般 * * *,8,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,7,4
の,の,の,助詞 準体助詞 * * * *,6,5
や,や,や,助詞 副助詞 * * * *,6,4
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,6,2
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,5,4
よ,よ,よ,助詞 終助詞 * * * *,5,4
くん,くん,君,接尾辞 名詞的 一般 * * *,5,3
っ,っ,っ,記号 一般 * * * *,5,3
で,で,で,助詞 格助詞 * * * *,5,3
ね,ね,ね,助詞 終助詞 * * * *,5,2
巻島,巻島,巻島,名詞 固有名詞 人名 姓 * *,5,2
車,車,車,名詞 普通名詞 一般 * * *,5,1
〜,〜,〜,補助記号 一般 * * * *,4,3
っ,っ,っ,補助記号 一般 * * * *,4,3
って,って,って,助詞 副助詞 * * * *,4,3
の,の,の,助詞 終助詞 * * * *,4,3
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,4,3
う〜ん,う〜ん,ううん,感動詞 一般 * * * *,4,2
こと,こと,こと,名詞 普通名詞 一般 * * *,4,2
ライト,ライト,ライト,名詞 普通名詞 一般 * * *,4,2
一,一,1,名詞 数詞 * * * *,4,2
俺,俺,俺,代名詞 * * * * *,4,2
君,君,君,接尾辞 名詞的 一般 * * *,4,2
歩行者,歩行者,歩行者,名詞 普通名詞 一般 * * *,4,2
整備,整備,整備,名詞 普通名詞 サ変可能 * * *,4,1
歩道,歩道,歩道,名詞 普通名詞 一般 * * *,4,1
あの,あの,彼の,連体詞 * * * * *,3,3
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,3,3
ち,ち,ち,名詞 普通名詞 一般 * * *,3,3
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,3,3
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,3,3
ば,ば,ば,助詞 接続助詞 * * * *,3,3
ん,ん,んっ,感動詞 一般 * * * *,3,3
乗り,乗り,乗り,接尾辞 名詞的 一般 * * *,3,3
今,今,今,名詞 普通名詞 副詞可能 * * *,3,3
通行,通行,通行,名詞 普通名詞 サ変可能 * * *,3,3
あああ,あああ,ああ,感動詞 一般 * * * *,3,2
あっ,あっ,あっ,感動詞 一般 * * * *,3,2
いや,いや,否,感動詞 一般 * * * *,3,2
から,から,から,助詞 格助詞 * * * *,3,2
きちんと,きちんと,きちんと,副詞 * * * * *,3,2
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,3,2
それ,それ,其れ,代名詞 * * * * *,3,2
だけ,だけ,だけ,助詞 副助詞 * * * *,3,2
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,3,2
何,何,何,代名詞 * * * * *,3,2
前,前,前,名詞 普通名詞 副詞可能 * * *,3,2
危険,危険,危険,名詞 普通名詞 形状詞可能 * * *,3,2
小野田,小野田,小野田,名詞 固有名詞 人名 姓 * *,3,2
えっ,えっ,えっ,感動詞 一般 * * * *,3,1
ねん,ねん,ねん,助詞 終助詞 * * * *,3,1
今泉,今泉,今泉,名詞 固有名詞 人名 姓 * *,3,1
仲間,仲間,仲間,名詞 普通名詞 一般 * * *,3,1
優先,優先,優先,名詞 普通名詞 サ変可能 * * *,3,1
勝ち,勝ち,勝ち,名詞 普通名詞 一般 * * *,3,1
回,回,回,名詞 普通名詞 助数詞可能 * * *,3,1
御堂筋,御堂筋,御堂筋,名詞 固有名詞 地名 一般 * *,3,1
知っ,知る,知る,動詞 一般 * * 五段-ラ行 連用形-促音便,3,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,2,2
あれ,あれ,あれ,感動詞 一般 * * * *,2,2
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,2,2
お,お,おっ,感動詞 一般 * * * *,2,2
おい,おい,おい,感動詞 一般 * * * *,2,2
さん,さん,さん,接尾辞 名詞的 一般 * * *,2,2
すぎ,すぎ,過ぎ,接尾辞 形状詞的 * * * *,2,2
すごい,すごい,凄い,形容詞 一般 * * 形容詞 終止形-一般,2,2
すみ,すむ,すむ,動詞 一般 * * 五段-マ行 連用形-一般,2,2
そう,そう,そう,副詞 * * * * *,2,2
そこ,そこ,其処,代名詞 * * * * *,2,2
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,2,2
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,2,2
ら,ら,等,接尾辞 名詞的 一般 * * *,2,2
チャリ,チャリ,ちゃり,名詞 普通名詞 一般 * * *,2,2
乗り,乗る,乗る,動詞 一般 * * 五段-ラ行 連用形-一般,2,2
乗る,乗る,乗る,動詞 一般 * * 五段-ラ行 連体形-一般,2,2
僕,僕,僕,代名詞 * * * * *,2,2
安全,安全,安全,名詞 普通名詞 形状詞可能 * * *,2,2
方,方,方,接尾辞 名詞的 一般 * * *,2,2
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,2,2
歯,歯,歯,名詞 普通名詞 一般 * * *,2,2
田所,田所,田所,名詞 固有名詞 人名 姓 * *,2,2
あ,あ,あっ,感動詞 一般 * * * *,2,1
ああん,ああん,ああん,感動詞 一般 * * * *,2,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,2,1
ええ,ええ,ええ,感動詞 一般 * * * *,2,1
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,2,1
