Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,160,1
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,124,1
て,て,て,助詞 接続助詞 * * * *,112,1
に,に,に,助詞 格助詞 * * * *,105,1
ひかる,ひかる,ひかる,名詞 固有名詞 人名 名 * *,101,1
よ,よ,よ,助詞 終助詞 * * * *,88,1
ん,ん,の,助詞 準体助詞 * * * *,83,1
ね,ね,ね,助詞 終助詞 * * * *,76,1
は,は,は,助詞 係助詞 * * * *,75,1
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,72,1
恭介,恭介,恭介,名詞 固有名詞 人名 名 * *,72,1
まどか,まどか,まどか,名詞 固有名詞 人名 名 * *,70,1
が,が,が,助詞 格助詞 * * * *,64,1
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,63,1
か,か,か,助詞 終助詞 * * * *,61,1
で,で,で,助詞 格助詞 * * * *,61,1
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,60,1
も,も,も,助詞 係助詞 * * * *,58,1
って,って,って,助詞 副助詞 * * * *,55,1
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,54,1
私,私,私,代名詞 * * * * *,52,1
と,と,と,助詞 格助詞 * * * *,49,1
あっ,あっ,あっ,感動詞 一般 * * * *,47,1
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,43,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,41,1
な,な,な,助詞 終助詞 * * * *,39,1
こと,こと,こと,名詞 普通名詞 一般 * * *,38,1
うん,うん,うん,感動詞 一般 * * * *,37,1
の,の,の,助詞 準体助詞 * * * *,37,1
それ,それ,其れ,代名詞 * * * * *,36,1
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,36,1
から,から,から,助詞 接続助詞 * * * *,33,1
そう,そう,そう,副詞 * * * * *,33,1
春日,春日,春日,名詞 固有名詞 地名 一般 * *,33,1
お,お,御,接頭辞 * * * * *,32,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,32,1
えっ,えっ,えっ,感動詞 一般 * * * *,31,1
音,音,音,名詞 普通名詞 一般 * * *,31,1
何,何,何,代名詞 * * * * *,30,1
さん,さん,さん,接尾辞 名詞的 一般 * * *,28,1
もう,もう,もう,副詞 * * * * *,28,1
を,を,を,助詞 格助詞 * * * *,28,1
か,か,か,助詞 副助詞 * * * *,27,1
君,君,君,接尾辞 名詞的 一般 * * *,27,1
はい,はい,はい,感動詞 一般 * * * *,26,1
ダーリン,ダーリン,ダーリン,名詞 固有名詞 人名 一般 * *,26,1
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,25,1
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,25,1
鮎川,鮎川,鮎川,名詞 固有名詞 人名 姓 * *,25,1
の,の,の,助詞 終助詞 * * * *,24,1
この,この,此の,連体詞 * * * * *,22,1
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,21,1
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,21,1
ああ,ああ,ああ,感動詞 一般 * * * *,20,1
から,から,から,助詞 格助詞 * * * *,20,1
くるみ,くるみ,くるみ,名詞 普通名詞 一般 * * *,19,1
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,19,1
で,で,で,助詞 接続助詞 * * * *,18,1
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,18,1
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,17,1
けど,けど,けれど,助詞 接続助詞 * * * *,17,1
これ,これ,此れ,代名詞 * * * * *,17,1
どう,どう,どう,副詞 * * * * *,17,1
電話,電話,電話,名詞 普通名詞 サ変可能 * * *,16,1
じゃ,じゃ,で,助詞 格助詞 * * * *,15,1
そんな,そんな,そんな,連体詞 * * * * *,15,1
イヤ,イヤ,嫌,形状詞 一般 * * * *,15,1
勉強,勉強,勉強,名詞 普通名詞 サ変可能 * * *,15,1
小松,小松,小松,名詞 固有名詞 地名 一般 * *,15,1
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,14,1
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,14,1
俺,俺,俺,代名詞 * * * * *,14,1
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,14,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,13,1
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,13,1
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,13,1
八田,八田,八田,名詞 固有名詞 地名 一般 * *,13,1
年,年,年,名詞 普通名詞 助数詞可能 * * *,13,1
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,13,1
たち,たち,達,接尾辞 名詞的 一般 * * *,12,1
まで,まで,まで,助詞 副助詞 * * * *,12,1
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,11,1
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,11,1
ちゃ,ちゃ,て,助詞 接続助詞 * * * *,11,1
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,11,1
姉,姉,姉,名詞 普通名詞 一般 * * *,11,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,10,1
お祭り,お祭り,御祭り,名詞 普通名詞 サ変可能 * * *,10,1
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,10,1
ねえ,ねえ,ね,助詞 終助詞 * * * *,10,1
ば,ば,ば,助詞 接続助詞 * * * *,10,1
まなみ,まなみ,まなみ,名詞 固有名詞 人名 名 * *,10,1
もん,もん,もん,名詞 普通名詞 一般 * * *,10,1
ホント,ホント,本当,名詞 普通名詞 一般 * * *,10,1
マスター,マスター,マスター,名詞 普通名詞 サ変可能 * * *,10,1
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,10,1
いや,いや,否,感動詞 一般 * * * *,9,1
とき,とき,時,名詞 普通名詞 副詞可能 * * *,9,1
なんて,なんて,なんて,助詞 副助詞 * * * *,9,1
ほら,ほら,ほら,感動詞 一般 * * * *,9,1
まあ,まあ,まあ,副詞 * * * * *,9,1
もん,もん,もの,助詞 終助詞 * * * *,9,1
好き,好き,好き,形状詞 一般 * * * *,9,1
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,9,1
風鈴,風鈴,風鈴,名詞 普通名詞 一般 * * *,9,1
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,8,1
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,8,1
さ,さ,さ,助詞 終助詞 * * * *,8,1
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,8,1
じゃ,じゃ,で,接続詞 * * * * *,8,1
ずっと,ずっと,ずっと,副詞 * * * * *,8,1
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,8,1
だけ,だけ,だけ,助詞 副助詞 * * * *,8,1
ちょっと,ちょっと,一寸,副詞 * * * * *,8,1
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,8,1
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,8,1
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,8,1
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,8,1
ウフッ,ウフッ,ウフッ,名詞 普通名詞 一般 * * *,8,1
バカ,バカ,ばか,名詞 普通名詞 形状詞可能 * * *,8,1
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,8,1
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,8,1
芝居,芝居,芝居,名詞 普通名詞 サ変可能 * * *,8,1
講師,講師,講師,名詞 普通名詞 一般 * * *,8,1
お前,お前,御前,代名詞 * * * * *,7,1
こう,こう,こう,副詞 * * * * *,7,1
ここ,ここ,此処,代名詞 * * * * *,7,1
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,7,1
その,その,其の,連体詞 * * * * *,7,1
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,7,1
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,7,1
なん,なん,何,代名詞 * * * * *,7,1
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,7,1
られ,られる,られる,助動詞 * * * 助動詞-レル 未然形-一般,7,1
アハッ,アハッ,あは,感動詞 一般 * * * *,7,1
ウッ,ウッ,ウッ,名詞 固有名詞 人名 一般 * *,7,1
大変,大変,大変,形状詞 一般 * * * *,7,1
持っ,持つ,持つ,動詞 一般 * * 五段-タ行 連用形-促音便,7,1
泣き声,泣き声,泣き声,名詞 普通名詞 一般 * * *,7,1
いけ,いける,行く,動詞 非自立可能 * * 下一段-カ行 未然形-一般,6,1
うーん,うーん,ううん,感動詞 一般 * * * *,6,1
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,6,1
こんな,こんな,こんな,連体詞 * * * * *,6,1
し,し,し,助詞 接続助詞 * * * *,6,1
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,6,1
ちゃう,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 終止形-一般,6,1
ったら,ったら,たら,助詞 副助詞 * * * *,6,1
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,6,1
と,と,と,助詞 接続助詞 * * * *,6,1
とこ,とこ,とこ,名詞 普通名詞 一般 * * *,6,1
どこ,どこ,どこ,代名詞 * * * * *,6,1
また,また,又,接続詞 * * * * *,6,1
やっぱり,やっぱり,矢張り,副詞 * * * * *,6,1
よう,よう,様,形状詞 助動詞語幹 * * * *,6,1
わ,わ,わ,助詞 終助詞 * * * *,6,1
今,今,今,名詞 普通名詞 副詞可能 * * *,6,1
別,別,別,名詞 普通名詞 形状詞可能 * * *,6,1
次,次,次,名詞 普通名詞 一般 * * *,6,1
気,気,気,名詞 普通名詞 一般 * * *,6,1
演出家,演出家,演出家,名詞 普通名詞 一般 * * *,6,1
私たち,私たち,私達,名詞 普通名詞 一般 * * *,6,1
笑い声,笑い声,笑い声,名詞 普通名詞 一般 * * *,6,1
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,6,1
〜,〜,〜,補助記号 一般 * * * *,5,1
あの,あの,彼の,連体詞 * * * * *,5,1
あら,あら,あら,感動詞 一般 * * * *,5,1
あれ,あれ,彼れ,代名詞 * * * * *,5,1
いつ,いつ,いつ,代名詞 * * * * *,5,1
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,5,1
えっと,えっと,えーと,感動詞 フィラー * * * *,5,1
お兄ちゃん,お兄ちゃん,お兄ちゃん,名詞 普通名詞 一般 * * *,5,1
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,5,1
そこ,そこ,其処,代名詞 * * * * *,5,1
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,5,1
でき,できる,出来る,動詞 非自立可能 * * 上一段-カ行 連用形-一般,5,1
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,5,1
ねえ,ねえ,姉,名詞 普通名詞 一般 * * *,5,1
ほう,ほう,方,名詞 普通名詞 一般 * * *,5,1
